Party Name,Description,Rate
TIMKEN,LVDT HOLDER,375.0
TIMKEN,LVDT PROBE WITH BUSH,425.0
RKFL-7,PLASTIC CAP D 113X 46 X 3 MM DISC,2.8
TATA STEEL LIMITED(TINPLATE DIVISION ),CT WHEEL RECONDITION 160 MM,2650.0
RKFL-7,PLASTIC CAP FD-D201.75(RA 110 CASE / COVER),6.9
RKFL-7,PLASTIC CAP #2428/30 BD D 102 / 58 X 40,4.75
RKFL-7,PLASTIC CAP 185MM DIA FOR 404 DIFF  CASE,9.5
RKFL-7,PLASTIC CAP #2428/30 BDD 102 / 58 X 40,4.75
RKFL-7,PLASTIC CAP #2425 FD D214 /157 X 18,5.0
RKFL-7,PLASTIC CAP DIA 120 MM,3.5
RKFL-7,PLASTIC CAP 73.5MM DIA,4.5
ALIED INSTRUMENTS & THERMOCOUPLES,"3/4"" X 12"" LONG EXTENSION PIPE WITH ONE SIDE THREAD.",100.0
RKFL-7,PLASTIC CAP 185MMDIA FOR 404 DIFF  CASE,9.5
RKFL-7,PLASTIC COVER DIA  100 MM X 88MM L,7.55
SILICON,PLASTIC DIAMLER CAP M40 X 1.5MM,3.5
ALIED INSTRUMENTS & THERMOCOUPLES,"3/4"" 4500 MM LONG STRAIGHT LANCE",650.0
ALIED INSTRUMENTS & THERMOCOUPLES,"3/4"" 4000 MM LONG STRAIGHT LANCE",650.0
ALIED INSTRUMENTS & THERMOCOUPLES,"3/4"" S. S LANCE 5100 MM LONG COMPLETE",1350.0
ALIED INSTRUMENTS & THERMOCOUPLES,"3/4"" S. S LANCE 4700 MM LONG COMPLETE",1350.0
TATA STEEL LIMITED(TINPLATE DIVISION ),END COVER REPAIRING OF  11 KW DC MOTOR,1395.0
RSB,THRUST WASHER SUPER ACE,0.75
AMIT TRADING CORPORATION,PLASTIC CAP M100,4.0
TATA MOTORS LIMITED,REAR AXLE PLASTIC  CAPS M14 X 2MM,2.25
TATA MOTORS LIMITED,SHOT BLASTING HANGER GEARS G950 _1500,6250.0
TATA MOTORS LIMITED,CROWN WHEEL HNG FR HT,4750.0
TATA MOTORS LIMITED,HANGER FOR PINION (HT)_800,5800.0
TATA MOTORS LIMITED,REAR HUB PLASTIC CAP,0.7
TATA MOTORS LIMITED,M10 PLASTIC CAP,0.73
TATA CUMMINS,BLOCK WATER JACKET MASKING MATERIAL,2.75
RKFL-7,PLASTIC CAP FD-D235.75  (RA114CASE/COVER),9.8
RSB,590 THRUST   WASHER,0.8
SILICON,PLASTIC FORD CAP M50 X 1.5MM,4.0
SILICON,AXLE ARM CAP M-42,1.9
RKFL-7,PLASTIC CAP D 113 X 46 X 3 MM DISC,2.8
JAGAT ENGINEERING CENTRE,PLASTIC CAP DIA 82.5,3.0
ALIED INSTRUMENTS & THERMOCOUPLES,"3/4"" S.S.LANCE 3.5MM LONG (MODIFYED)",950.0
TATA MOTORS LIMITED,CROWN WHEEL HNG,4750.0
TATA MOTORS LIMITED,SHOT BLASTING HANGERDIA 60_2500,6250.0
AMIT TRADING CORPORATION,60.3 & 133 PLASTIC CAP,4.0
TIMKEN,EXIT TUBE COUPLING,1000.0
TIMKEN,ADAPTOR ACCESSORIES,750.0
RKFL-7,PLASTIC COVER DIA 100MM X 88MM L,7.55
RKFL-7,PLASTIC CAP 73.5MM DIA FOR 404 DIFF CASE,4.5
TIMKEN,CONE BM-369910,3975.0
TATA MOTORS LIMITED,CAPS M14 X 2MM,2.25
RKFL-7,PLASTIC CAP 185MM,9.5
RKFL-7,PLASTIC CAP BD -D110.35,4.6
RKFL-7,PLASTIC CAP FD-D201.75,6.9
RKFL,PLASTIC CAP (THREADM100)FOR EGE SPINDLE,3.8
RKFL,PLASTIC CAP DIA49 X HT37 MM,4.8
JAGAT ENGINEERING CENTRE,PLASTIC CAP 180 MM,6.0
AMIT TRADING CORPORATION,PLASTIC CAP M52 X 1.5,3.5
TATA MOTORS LIMITED,GEARS G950 _1500,6250.0
TATA MOTORS LIMITED,SHOT BLASTING HANGER DIA 60_2500,6250.0
AMIT TRADING CORPORATION,PLASTIC CAP M46 X1.5,3.5
AMIT TRADING CORPORATION,PLASTIC CAP DIA M52 X 1.5,3.25
SILICON,KNUCKLE CAP 3.5T (PART NO.IA454828 & IA454829),3.2
RKFL,SAFETY CAP FOR FLANGE  OD DIFF CASE-857,15.0
AMIT TRADING CORPORATION,THREAD CAP M 46X1.5,3.5
TIMKEN,ROLLER MODLER CAGE,1000.0
RKFL-7,PLASTIC CAP FOR S-175OD 265 MM COMMON,14.5
RKFL-7,PLASTIC CAP RASHAFTFLANGE 155.5,5.1
ALIED INSTRUMENTS & THERMOCOUPLES,FAB. HARDENED SOCKET-250MM,675.0
ALIED INSTRUMENTS & THERMOCOUPLES,FAB. HARDENED SOCKET-350MM,750.0
ALIED INSTRUMENTS & THERMOCOUPLES,FAB. OF ROLLER,800.0
RKFL-7,PLASTIC CAP # 2425/37 BD D105/ 69 X 30,5.0
TIMKEN,ROLLER CLAMPBM-374475 PART NO. R31310M,4500.0
TIMKEN,CAGE RIB REWORK,850.0
TIMKEN,MACHINING OF ADAPTOR,450.0
ZENITH FORGE PRIVATE LIMITED,FIXTURE FOR SHAF,10500.0
ALIED INSTRUMENTS & THERMOCOUPLES,FAB. OF  SHAFT,1200.0
RKFL,SAFETY CAP FOR BEARING  OD DIFF CASE-857,4.9
RSB,620  THRUST WASHER,0.8
TIMKEN,"CAGE RIB REWORK(RA31314,HH914401)",1000.0
TIMKEN,TRANSPORTATION CHARGES,1000.0
TATA MOTORS LIMITED,HT SHOT BLASTING HNGR SYNCHRO PART 2300,6700.0
JAGAT ENGINEERING CENTRE,RATE DIFFERENCE,2.0
SILICON,SPINDLE  CAP DIA 63.5,3.0
SILICON,TRANSPORTATION CHARGES,500.0
ALIED INSTRUMENTS & THERMOCOUPLES,FAB. OF  SHAFT MATS. BRIGHT BAR,1200.0
ALIED INSTRUMENTS & THERMOCOUPLES,"3/4"" S.S.LANCE -3.5MM LONG(MODIFIED)",950.0
ALIED INSTRUMENTS & THERMOCOUPLES,"3/4"" S.S.LANCE -4.0MM LONG(MODIFIED)",950.0
AMIT TRADING CORPORATION,SPINDLE CAP M100,4.0
AMIT TRADING CORPORATION,SPINDLE CAP M32X1.5,3.0
AMIT TRADING CORPORATION,SPINDLE CAP M-100,4.0
SILICON,KNUCKLE CAP 3.5 T,3.2
PROGRESSIVE AUTOMOTIVES,SWITCH COVER W/FET.407024,4.6
PROGRESSIVE AUTOMOTIVES,407 PECO BACKCOVER W/FET 4077073,4.1
SILICON,KNUCKLE CAP 3.5T(PART NO. IA454828 &IA454829),3.2
SILICON,TRANSPORT CHARGES,500.0
RKFL,SAFETY CAP FORBEARING OD DIFF CASE-857,4.9
RKFL,PLASTIC CAP RA SHAFT ID(75.2)HT(70),4.2
ALIED INSTRUMENTS & THERMOCOUPLES,FAB. OF ARM BRACKET,1200.0
JAGAT ENGINEERING CENTRE,PLASTIC CAP 139,3.0
RSB,THRUST WASHER SUPER ACC,0.75
TATA STEEL LIMITED(TINPLATE DIVISION ),END COVER REPAIRING OF  15 KW AC MOTOR,1800.0
TATA STEEL LIMITED(TINPLATE DIVISION ),END COVER REPAIRING OF 5.5 KW AC MOTOR,1100.0
RKFL-7,PLASTIC CAP RA SHAFT FLANGE 174.55,6.1
ALIED INSTRUMENTS & THERMOCOUPLES,ALLUMINIUM ROLLER,1200.0
RKFL,PLASTIC SEPARATOR DISC TY OD 150 ID50 TY2,4.0
RKFL,PLASTIC CAP FOR PROP SHAFT 156 M95 X 2,6.15
SILICON,KNUCKLE CAP 2.9 T,2.9
RKFL,PLASTIC CAP FOR DRIVE SHAFTM52  X 1.5,3.0
RKFL,PLASTIC CAP ITL DIA 163.25  MM,5.5
TATA MOTORS LIMITED,CANCELLED,
RKFL,PLASTIC CAP SPLINE RASHAFT (ID 46.5),4.5
S.S.PLASTICS,PLASTIC PAD,6.0
TIMKEN,HANDLE FOR FINISH CUP PLUG,1500.0
TIMKEN,BENCH VICE,4000.0
JAGAT ENGINEERING CENTRE,PLASTIC CAP DIA 85.5,3.0
JAGAT ENGINEERING CENTRE,PLASTIC CAP DIA 133,3.0
JAGAT ENGINEERING CENTRE,PLASTIC CAP DIA 141,4.0
AMIT TRADING CORPORATION,SPINDLE  CAP 133,4.0
AMIT TRADING CORPORATION,PLASTIC CAP DIA 133,4.0
AMIT TRADING CORPORATION,PLASTIC CAP DIA 82.5,4.0
RKFL,PLASTIC CAP SPINDLE RA SHAFT (ID 60.3),5.0
SILICON,KNUCKLE CAP 2.9 T (PART NO. IA456418 & IA456419),2.9
RKFL-7,SAFETY CAP FOR BEARINGOD DIFF CASE-984,5.25
SILICON,KNUCKLE CAP185,6.0
JAGAT ENGINEERING CENTRE,PLASTIC CAP DIA 115,3.0
AMIT TRADING CORPORATION,SPINDLE  CAP 82.5,4.0
RKFL,SAFETY CAP FOR BEARING OD DIFF CASE -857,4.9
SILICON,KNUCKLE CAP 3.5 T (PART NO. IA454828 & IA454829),3.2
RKFL-7,PLASTIC CAP FLANGE  RASHAFT (189.5),10.8
RKFL,PLASTIC SEPERATOR DISC TY OD 200 ID50 TH2,6.0
RKFL,PLASTIC CAP FOR PROPSHAFT 156 M60 X 2,5.95
RKFL,RA SHAFT (ID 60.3),5.0
,PLASTIC CAP ITL DIA 193.36 MM,7.95
AMIT TRADING CORPORATION,M46 X  20 LONG,3.5
AMIT TRADING CORPORATION,PLASTIC CAP EZEE SPINDLE 82.5,4.0
TATA MOTORS LIMITED,REAR AXLE PLASTICCAPS M14 X 2MM,2.25
RKFL-7,PLASTIC CAP SPINDLE RA SHAFT (ID 46.5),4.5
AMIT TRADING CORPORATION,PLASTIC CAP EZEE SPINDLE 133,4.0
ALIED INSTRUMENTS & THERMOCOUPLES,FAB. OF SUPER GEAR 24 TEETCH,900.0
JAGAT ENGINEERING CENTRE,PCH 49 X 37 SPINDLE CAP,3.0
JAGAT ENGINEERING CENTRE,PLASTIC CAP  133,3.0
RKFL,PLASTIC SEPERATOR DISC TY OD 150 ID50 TH2,4.0
ZF CVCS  INDIA LIMITED,PIN GAUGE DIA 4.6 MM,550.0
JAGAT ENGINEERING CENTRE,PLASTIC CAP DIA 139,3.0
AMIT TRADING CORPORATION,PLASTIC CAP EGE SPINDLE  133,4.0
SILICON,KNUCKLE CAP M32 X 1.5,3.5
TIMKEN,ADAPTOR CAP,450.0
TIMKEN,SHOE HOLDER,500.0
TIMKEN,DELIVERY CHARGES,1000.0
RKFL-7,PLASTIC CAP  SPLINE RA SHAFT (ID 46.5 ),4.5
AMIT TRADING CORPORATION,PLASTIC CAP 82.5,4.0
SILICON,KNUCKLE CAP 3.5 T M-24,3.2
SILICON,KNUCKLE CAP 2.9 T M-22,2.9
ALIED INSTRUMENTS & THERMOCOUPLES,REPAIRING OF IJECTOR ASSY,2200.0
AMIT TRADING CORPORATION,PLASTIC CAP EGE SPINDLE M32X1.5,3.0
TIMKEN,ALIGNMENT  PIN - M255401,850.0
TATA MOTORS LIMITED,SHOT BLASTING HNG FR D SFT DIA60  & MS DIA75,6875.0
SILICON,KNUCKLE CAP -44,1.9
RKFL-7,PLASTIC CAP BD-D110.35(RA114CASE/COVER),4.6
TIMKEN,CONE SETUP PLUG,2500.0
SILICON,PLASTIC FORD CAP M32 X 1.5MM,3.5
RSB,RH NECK,5.0
SILICON,KNUCKLE CAP -48,2.0
TIMKEN,MANDREL BOLT,4500.0
SILICON,KNUCKLE CAP M-50,2.85
TATA STEEL LIMITED(TINPLATE DIVISION ),NAN,
ALIED INSTRUMENTS & THERMOCOUPLES,FAB.OF EJECTOR,6.0
ALIED INSTRUMENTS & THERMOCOUPLES,FAB EJECTOR PIN M-14,150.0
ALIED INSTRUMENTS & THERMOCOUPLES,FAB EJECTOR PIN M-16,200.0
KROSS,THREAD CAP M 40 X1.5,3.0
KROSS,THREAD CAP M 46 X1.5,3.0
TATA MOTORS LIMITED,HANGER PINION 5420/16 (HT)_6800,5800.0
TATA MOTORS LIMITED,PLASTIC DISC SEPARATOR FOR MATERIAL,5.5
RKFL-7,PLASTIC CAP 2435/28 FD D351 / 157 X 37,24.0
SILICON,SPINDLE CAP DIA 63.5,3.0
SILICON,KNUCKLE CAP 2.9  T M-22,2.9
JAGAT ENGINEERING CENTRE,PLASTIC CAP 115,4.0
SILICON,KNUCKLE CAP M-32 X 1.5,3.5
JAGAT ENGINEERING CENTRE,PLASTIC CAP 180,6.0
RKFL,PLASTIC CAP  RA SHAFT HD(75.2)HT(70),4.2
SILICON,KNUCKLE CAP -42,1.9
PROGRESSIVE AUTOMOTIVES,SWITCH COVER W/FET407024.,4.6
PROGRESSIVE AUTOMOTIVES,407 PECO BACK COVER W/FET 4077073,4.1
RKFL-7,PLASTIC CAP # 2430/37 FD D351 / 157 X 21,23.0
RKFL-7,PLASTIC CAP #2428/30 BD  D102 / 58 X 40,4.75
RSB,PLASTIC CAP GREASE NIPPLE COVER,0.07
ALIED INSTRUMENTS & THERMOCOUPLES,"MAKING BSP THREAD AT BOTH END SS PIPE 3/4"" X 600 MM LONG",100.0
RKFL,SAFETY CAP FOR BEARINGOD DIFF CASE 857,4.9
RKFL,PLASTIC CAP (THREAD M100)FOR EGE SPINDLE,3.8
SILICON,SPINDLE  CAP #2523,3.25
JAGAT ENGINEERING CENTRE,PLASTIC CAP95.5,4.0
JAGAT ENGINEERING CENTRE,PLASTIC CAP 133,3.0
RKFL,PLASTIC CAP 95.6,3.2
AMIT TRADING CORPORATION,SPINDLE  CAP 60.3,4.0
AMIT TRADING CORPORATION,SPINDLE  CAP 75.2,4.2
AMIT TRADING CORPORATION,M 14,2.25
RKFL,PLASTIC CAP 86,3.5
RKFL,PLASTIC CAP 193.36,7.95
RKFL,PLASTIC CAP  DIA 70,10.75
"TATA STEEL LIMITED, TINPLATE DIVISION",END COVER REPAIRING OF  80 KW AC MOTOR,0.0
"TATA STEEL LIMITED, TINPLATE DIVISION",500 DIA CT DRIVE OF TM-1WHEELS 32002293,0.0
"TATA STEEL LIMITED, TINPLATE DIVISION",500 IDLE WHEELS OF TM-1CRANE 32002294,0.0
"TATA STEEL LIMITED, TINPLATE DIVISION",TRAILNG WHEEL OF EOT CRANE & DIA 630MM  32000072.,0.0
"TATA STEEL LIMITED, TINPLATE DIVISION",RGS CRANE CT IDLE WHEEL 160MM DIA,0.0
TIMKEN,WASHER COUNTER BORE QUILL,550.0
ZENITH FORGE PRIVATE LIMITED,PLASTIC DISC SEPARATOR DIA 150,4.41
ZENITH FORGE PRIVATE LIMITED,PLASTIC DISC SEPARATOR DIA 200,6.12
TATA MOTORS LIMITED,HANGER PINION 5420/16,5800.0
RKFL-7,PLASTIC CAP 85,7.0
RKFL,PLASTIC DISC SEPARATOR DIA 150,4.0
RKFL,PLASTIC CAP THREAD 86,3.5
RKFL-7,PLASTIC CAP DIA  85,7.0
KROSS,THREAD CAP M 80 X 1.5,4.75
ALIED INSTRUMENTS & THERMOCOUPLES,FAB. NEW ARM SHAFT,2800.0
ALIED INSTRUMENTS & THERMOCOUPLES,COMPLETE SET & PAPER TUBE CUTTING SHAFT,3000.0
PROGRESSIVE AUTOMOTIVES,SWITCH COVER W/FET 407024,4.6
JAGAT ENGINEERING CENTRE,PCH CAP  180 DIA,6.0
TATA MOTORS LIMITED,HNGR SYNCHRO PART 2300,6700.0
JAGAT ENGINEERING CENTRE,PCH 49 X 37CAP,3.0
JAGAT ENGINEERING CENTRE,PLASTIC CAP DIA  82.5,3.0
SILICON,PLASTIC CAP DIA 185,6.5
ALIED INSTRUMENTS & THERMOCOUPLES,MENDRAL REPAIRING,350.0
JAGAT ENGINEERING CENTRE,PLASTIC CAP DIA  85.5,3.0
TIMKEN,SUPPORT ROLLER WITH BOLT,950.0
JAGAT ENGINEERING CENTRE,PCH CAP 180 DIA,6.0
JAGAT ENGINEERING CENTRE,PCH 49 X 37  CAP,3.0
AMIT TRADING CORPORATION,PLASTIC CAP DIA 85 MM,4.0
AMIT TRADING CORPORATION,PLASTIC CAP 139,4.0
AMIT TRADING CORPORATION,PLASTIC CAP DIA  82.5,4.0
SILICON,PLASTIC CAP EGE SPINDLE M32X1.5,3.5
AMIT TRADING CORPORATION,PLASTIC CAP 133,4.0
RKFL,PLASTIC DISC SEPARATOR DIA 200,6.0
RSB,PLASTIC CAP THREAD 3/4  BSP,4.25
RSB,PLASTIC CAP THREAD 1/4  BSP,2.65
AMIT TRADING CORPORATION,PLASTIC CAP EGE SPINDLE 139,4.0
AMIT TRADING CORPORATION,PLASTIC CAP EGE SPINDLE 82.5,4.0
RSB,THRUST WASHER 117 JT,0.75
SILICON,PLASTIC CAP DIA 73.5,2.0
RSB,PLASTIC CAP FOR GREASE NIPPLE COVER,0.07
TATA MOTORS LIMITED,HANGER PINION 5420/16 (HT)_6800 MATERIAL,5800.0
RSB,GREASE NIPPLE,0.07
TIMKEN,SECTOR ARM,650.0
TIMKEN,ROLLER ADAPTOR,350.0
RKFL,PLASTIC SEPARATOR DISC TY OD200,6.0
RKFL,PLASTIC  CAP RA SHAFT ID(75.2) HT(90),4.0
JAGAT ENGINEERING CENTRE,PLASTIC CAP DIA 95.5,4.0
RKFL-7,PLASTIC COVER SPRING POT ICF/J&T/SK1823POT,24.8
NAN,NAN,
